State,Year English Declared,Year,English Declared
Alabama,1990,2000,0
Alabama,1990,2001,0
Alabama,1990,2002,0
Alabama,1990,2003,0
Alabama,1990,2004,0
Alabama,1990,2005,0
Alabama,1990,2006,0
Alabama,1990,2007,0
Alabama,1990,2008,0
Alabama,1990,2009,0
Alabama,1990,2010,0
Alabama,1990,2011,0
Alabama,1990,2012,0
Alabama,1990,2013,0
Alabama,1990,2014,0
Alabama,1990,2015,0
Alaska,1998,2000,0
Alaska,1998,2001,0
Alaska,1998,2002,0
Alaska,1998,2003,0
Alaska,1998,2004,0
Alaska,1998,2005,0
Alaska,1998,2006,0
Alaska,1998,2007,0
Alaska,1998,2008,0
Alaska,1998,2009,0
Alaska,1998,2010,0
Alaska,1998,2011,0
Alaska,1998,2012,0
Alaska,1998,2013,0
Alaska,1998,2014,0
Alaska,1998,2015,0
Arizona,2006,2000,1
Arizona,2006,2001,1
Arizona,2006,2002,1
Arizona,2006,2003,1
Arizona,2006,2004,1
Arizona,2006,2005,1
Arizona,2006,2006,0
Arizona,2006,2007,0
Arizona,2006,2008,0
Arizona,2006,2009,0
Arizona,2006,2010,0
Arizona,2006,2011,0
Arizona,2006,2012,0
Arizona,2006,2013,0
Arizona,2006,2014,0
Arizona,2006,2015,0
Arkansas,1987,2000,0
Arkansas,1987,2001,0
Arkansas,1987,2002,0
Arkansas,1987,2003,0
Arkansas,1987,2004,0
Arkansas,1987,2005,0
Arkansas,1987,2006,0
Arkansas,1987,2007,0
Arkansas,1987,2008,0
Arkansas,1987,2009,0
Arkansas,1987,2010,0
Arkansas,1987,2011,0
Arkansas,1987,2012,0
Arkansas,1987,2013,0
Arkansas,1987,2014,0
Arkansas,1987,2015,0
California,1986,2000,0
California,1986,2001,0
California,1986,2002,0
California,1986,2003,0
California,1986,2004,0
California,1986,2005,0
California,1986,2006,0
California,1986,2007,0
California,1986,2008,0
California,1986,2009,0
California,1986,2010,0
California,1986,2011,0
California,1986,2012,0
California,1986,2013,0
California,1986,2014,0
California,1986,2015,0
Colorado,1988,2000,0
Colorado,1988,2001,0
Colorado,1988,2002,0
Colorado,1988,2003,0
Colorado,1988,2004,0
Colorado,1988,2005,0
Colorado,1988,2006,0
Colorado,1988,2007,0
Colorado,1988,2008,0
Colorado,1988,2009,0
Colorado,1988,2010,0
Colorado,1988,2011,0
Colorado,1988,2012,0
Colorado,1988,2013,0
Colorado,1988,2014,0
Colorado,1988,2015,0
Connecticut,,2000,1
Connecticut,,2001,1
Connecticut,,2002,1
Connecticut,,2003,1
Connecticut,,2004,1
Connecticut,,2005,1
Connecticut,,2006,1
Connecticut,,2007,1
Connecticut,,2008,1
Connecticut,,2009,1
Connecticut,,2010,1
Connecticut,,2011,1
Connecticut,,2012,1
Connecticut,,2013,1
Connecticut,,2014,1
Connecticut,,2015,1
Delaware,,2000,1
Delaware,,2001,1
Delaware,,2002,1
Delaware,,2003,1
Delaware,,2004,1
Delaware,,2005,1
Delaware,,2006,1
Delaware,,2007,1
Delaware,,2008,1
Delaware,,2009,1
Delaware,,2010,1
Delaware,,2011,1
Delaware,,2012,1
Delaware,,2013,1
Delaware,,2014,1
Delaware,,2015,1
District of Columbia,,2000,1
District of Columbia,,2001,1
District of Columbia,,2002,1
District of Columbia,,2003,1
District of Columbia,,2004,1
District of Columbia,,2005,1
District of Columbia,,2006,1
District of Columbia,,2007,1
District of Columbia,,2008,1
District of Columbia,,2009,1
District of Columbia,,2010,1
District of Columbia,,2011,1
District of Columbia,,2012,1
District of Columbia,,2013,1
District of Columbia,,2014,1
District of Columbia,,2015,1
Florida,1988,2000,0
Florida,1988,2001,0
Florida,1988,2002,0
Florida,1988,2003,0
Florida,1988,2004,0
Florida,1988,2005,0
Florida,1988,2006,0
Florida,1988,2007,0
Florida,1988,2008,0
Florida,1988,2009,0
Florida,1988,2010,0
Florida,1988,2011,0
Florida,1988,2012,0
Florida,1988,2013,0
Florida,1988,2014,0
Florida,1988,2015,0
Georgia,1986,2000,0
Georgia,1986,2001,0
Georgia,1986,2002,0
Georgia,1986,2003,0
Georgia,1986,2004,0
Georgia,1986,2005,0
Georgia,1986,2006,0
Georgia,1986,2007,0
Georgia,1986,2008,0
Georgia,1986,2009,0
Georgia,1986,2010,0
Georgia,1986,2011,0
Georgia,1986,2012,0
Georgia,1986,2013,0
Georgia,1986,2014,0
Georgia,1986,2015,0
Hawaii,1978,2000,0
Hawaii,1978,2001,0
Hawaii,1978,2002,0
Hawaii,1978,2003,0
Hawaii,1978,2004,0
Hawaii,1978,2005,0
Hawaii,1978,2006,0
Hawaii,1978,2007,0
Hawaii,1978,2008,0
Hawaii,1978,2009,0
Hawaii,1978,2010,0
Hawaii,1978,2011,0
Hawaii,1978,2012,0
Hawaii,1978,2013,0
Hawaii,1978,2014,0
Hawaii,1978,2015,0
Idaho,2007,2000,1
Idaho,2007,2001,1
Idaho,2007,2002,1
Idaho,2007,2003,1
Idaho,2007,2004,1
Idaho,2007,2005,1
Idaho,2007,2006,1
Idaho,2007,2007,0
Idaho,2007,2008,0
Idaho,2007,2009,0
Idaho,2007,2010,0
Idaho,2007,2011,0
Idaho,2007,2012,0
Idaho,2007,2013,0
Idaho,2007,2014,0
Idaho,2007,2015,0
Illinois,1969,2000,0
Illinois,1969,2001,0
Illinois,1969,2002,0
Illinois,1969,2003,0
Illinois,1969,2004,0
Illinois,1969,2005,0
Illinois,1969,2006,0
Illinois,1969,2007,0
Illinois,1969,2008,0
Illinois,1969,2009,0
Illinois,1969,2010,0
Illinois,1969,2011,0
Illinois,1969,2012,0
Illinois,1969,2013,0
Illinois,1969,2014,0
Illinois,1969,2015,0
Indiana,1984,2000,0
Indiana,1984,2001,0
Indiana,1984,2002,0
Indiana,1984,2003,0
Indiana,1984,2004,0
Indiana,1984,2005,0
Indiana,1984,2006,0
Indiana,1984,2007,0
Indiana,1984,2008,0
Indiana,1984,2009,0
Indiana,1984,2010,0
Indiana,1984,2011,0
Indiana,1984,2012,0
Indiana,1984,2013,0
Indiana,1984,2014,0
Indiana,1984,2015,0
Iowa,2002,2000,1
Iowa,2002,2001,1
Iowa,2002,2002,0
Iowa,2002,2003,0
Iowa,2002,2004,0
Iowa,2002,2005,0
Iowa,2002,2006,0
Iowa,2002,2007,0
Iowa,2002,2008,0
Iowa,2002,2009,0
Iowa,2002,2010,0
Iowa,2002,2011,0
Iowa,2002,2012,0
Iowa,2002,2013,0
Iowa,2002,2014,0
Iowa,2002,2015,0
Kansas,2007,2000,1
Kansas,2007,2001,1
Kansas,2007,2002,1
Kansas,2007,2003,1
Kansas,2007,2004,1
Kansas,2007,2005,1
Kansas,2007,2006,1
Kansas,2007,2007,0
Kansas,2007,2008,0
Kansas,2007,2009,0
Kansas,2007,2010,0
Kansas,2007,2011,0
Kansas,2007,2012,0
Kansas,2007,2013,0
Kansas,2007,2014,0
Kansas,2007,2015,0
Kentucky,1984,2000,0
Kentucky,1984,2001,0
Kentucky,1984,2002,0
Kentucky,1984,2003,0
Kentucky,1984,2004,0
Kentucky,1984,2005,0
Kentucky,1984,2006,0
Kentucky,1984,2007,0
Kentucky,1984,2008,0
Kentucky,1984,2009,0
Kentucky,1984,2010,0
Kentucky,1984,2011,0
Kentucky,1984,2012,0
Kentucky,1984,2013,0
Kentucky,1984,2014,0
Kentucky,1984,2015,0
Louisiana,1807,2000,0
Louisiana,1807,2001,0
Louisiana,1807,2002,0
Louisiana,1807,2003,0
Louisiana,1807,2004,0
Louisiana,1807,2005,0
Louisiana,1807,2006,0
Louisiana,1807,2007,0
Louisiana,1807,2008,0
Louisiana,1807,2009,0
Louisiana,1807,2010,0
Louisiana,1807,2011,0
Louisiana,1807,2012,0
Louisiana,1807,2013,0
Louisiana,1807,2014,0
Louisiana,1807,2015,0
Maine,,2000,1
Maine,,2001,1
Maine,,2002,1
Maine,,2003,1
Maine,,2004,1
Maine,,2005,1
Maine,,2006,1
Maine,,2007,1
Maine,,2008,1
Maine,,2009,1
Maine,,2010,1
Maine,,2011,1
Maine,,2012,1
