"State","Year","mood","right2work","pc_inc_ann","povrate","ccpi","evangelical_pop","nonwhite","valueofagsect","region","budget_surplus_gsp","dem_unified","rep_unified","pctlatinoleg","hs_dem_in_sess","hs_rep_in_sess","hs_ind_in_sess","sen_dem_in_sess","sen_rep_in_sess","sen_ind_in_sess","Task.Force.Agreement","Cooperation.With.Detainers","EVerify.Mandates","Year.English.Declared","English.Declared","Insurance.for.Unauth.Kids","Insurance.for.Unauth.Adults","Food.Assist.for.Immigrant.Kids","Food.Assist.for.Immigrant.Adults","Immigration.Composite.Score"
"Alabama",2000,39.09899902,1,3.170770884,13.3,172.2,41.099998,0.289000899,1434983,1,-2.375928402,1,0,NA,69,36,0,23,12,0,1,0,1,1990,0,0,0,0,0,2
"Alabama",2001,39.32600021,1,3.521247625,15.9,177.1,41.099998,0.29187429,1934918,1,5.501718044,1,0,NA,67,36,0,23,12,0,1,0,1,1990,0,0,0,0,0,2
"Alabama",2002,41.06399918,1,3.56824708,14.5,179.9,41.099998,0.293637812,1464902,1,-1.362766147,1,0,NA,67,38,0,24,11,0,1,0,1,1990,0,0,0,0,0,2
"Alabama",2003,39.84500122,1,3.680423975,15,184,41.099998,0.295495868,1903298,1,-3.238295078,0,0,NA,64,41,0,25,10,0,0,0,1,1990,0,0,0,1,0,2
"Alabama",2004,40.40599823,1,3.851350784,16.9,188.9,41.099998,0.297508091,2530842,1,-1.172026515,0,0,NA,63,42,0,25,10,0,0,0,1,1990,0,0,0,1,0,2
"Alabama",2005,36.55199814,1,4.138046741,16.7,195.3,42.799999,0.299620241,2385276,1,3.189154625,0,0,0,62,40,0,25,10,0,0,0,1,1990,0,0,0,1,0,2
"Alabama",2006,37.72999954,1,4.386679649,14.3,201.6,42.799999,0.302720785,1633111,1,6.113481045,0,0,0,63,42,0,25,10,0,0,0,1,1990,0,0,0,1,0,2
"Alabama",2007,37.65499878,1,4.472275734,14.5,207.342,42.799999,0.313774139,1455710,1,-0.447208434,0,0,0,62,43,0,23,12,0,0,0,1,1990,0,0,0,1,0,2
"Alabama",2008,37.72299957,1,4.515728951,14.3,215.303,42.799999,0.315516412,1764714,1,-5.007153511,0,0,0,62,43,0,22,13,0,0,0,1,1990,0,0,0,1,0,2
"Alabama",2009,36.02799988,1,4.435373783,16.6,214.537,42.799999,0.319741011,1443088,1,-13.26055908,0,0,0,62,43,0,19,13,0,0,0,1,1990,0,0,0,1,0,2
"Alabama",2010,38.52500153,1,4.80412817,17.3,218.056,42.799999,0.284647912,1206176,1,-5.876904488,0,0,0,60,45,0,21,14,0,0,0,1,1990,0,0,0,1,0,2
"Alabama",2011,NA,1,NA,15.4,224.939,42.799999,0.329138458,886209,1,NA,0,1,0,43,62,0,12,22,1,0,0,0,1990,0,0,0,1,0,1
"Alabama",2012,NA,1,4.600410461,16.2,229.594,42.799999,NA,NA,1,-9.344327927,NA,NA,0,40,NA,NA,12,NA,NA,1,0,0,1990,0,0,0,1,0,2
"Alabama",2013,NA,1,NA,16.7,232.957,42.799999,NA,NA,1,-9.661169052,NA,NA,NA,37,NA,NA,11,NA,NA,1,0,0,1990,0,0,0,1,0,2
"Alabama",2014,NA,1,NA,17.8,236.736,NA,NA,NA,1,-9.471352577,NA,NA,0,37,NA,NA,11,NA,NA,1,0,0,1990,0,0,0,1,0,2
"Alabama",2015,NA,1,NA,16.3,NA,NA,NA,NA,1,-4.05089283,NA,NA,0,33,NA,NA,8,NA,NA,1,0,0,1990,0,0,0,1,0,2
"Alaska",2000,31.61199951,NA,11.67322254,7.6,172.2,15.5,0.279942572,29782,2,50.57785034,0,0,NA,14,26,0,5,15,0,1,0,1,1998,0,0,0,0,0,2
"Alaska",2001,36.52600098,NA,9.53633213,8.5,177.1,15.5,0.283753544,28636,2,-82.15497589,0,0,NA,13,27,0,6,14,0,1,0,1,1998,0,0,0,0,0,2
"Alaska",2002,34.79600143,NA,8.441932678,8.8,179.9,15.5,0.286993772,27584,2,-42.9960022,0,0,NA,13,27,0,6,14,0,1,0,1,1998,0,0,0,0,0,2
"Alaska",2003,37.32400131,NA,9.405517578,9.6,184,15.5,0.29016462,19147,2,-31.61234665,0,1,NA,13,27,0,8,12,0,1,0,1,1998,0,0,0,1,0,3
"Alaska",2004,36.07600021,NA,10.05654716,9.2,188.9,15.5,0.29270348,23048,2,-5.815911293,0,1,NA,13,27,0,8,12,0,1,0,1,1998,0,0,0,1,0,3
"Alaska",2005,42.26100159,NA,11.81585884,10,195.3,18.700001,0.295690596,21684,2,19.10910225,0,1,0,14,26,0,8,12,0,1,0,1,1998,0,0,0,1,0,3
"Alaska",2006,41.31900024,NA,13.20911217,8.9,201.6,18.700001,0.295960069,16583,2,31.14707184,0,1,0,14,26,0,8,12,0,1,0,1,1998,0,0,0,1,0,3
"Alaska",2007,44.35400009,NA,15.55501842,7.6,207.342,18.700001,0.339096516,15937,2,46.56877518,0,1,0,14,26,0,8,12,0,1,0,1,1998,0,0,0,1,0,3
"Alaska",2008,44.66500092,NA,23.53987312,8.2,215.303,18.700001,0.342618972,11747,2,126.8289261,0,1,0,17,23,0,9,11,0,1,0,1,1998,0,0,0,1,0,3
"Alaska",2009,44.31499863,NA,16.49988556,11.7,214.537,18.700001,0.348411471,15075,2,32.40707016,0,0,0,18,22,0,10,10,0,1,0,1,1998,0,0,0,1,0,3
"Alaska",2010,41.25699997,NA,15.45315933,12.4,218.056,18.700001,0.287276,17704,2,24.06978989,0,0,0,18,22,0,10,10,0,1,0,1,1998,0,0,0,1,0,3
"Alaska",2011,NA,NA,NA,11.7,224.939,18.700001,0.351617992,17278,2,NA,0,0,0,16,24,0,10,10,0,1,0,1,1998,0,0,0,1,0,3
"Alaska",2012,NA,NA,19.53990555,10,229.594,18.700001,NA,NA,2,66.70489502,NA,NA,0,16,NA,NA,10,NA,NA,1,0,1,1998,0,0,0,1,0,3
"Alaska",2013,NA,NA,NA,10.9,232.957,18.700001,NA,NA,2,26.30285263,NA,NA,NA,14,NA,NA,7,NA,NA,1,0,1,1998,0,0,0,1,0,3
"Alaska",2014,NA,NA,NA,11.9,236.736,NA,NA,NA,2,-18.01120377,NA,NA,3,14,NA,NA,7,NA,NA,1,0,1,1998,0,0,0,1,0,3
"Alaska",2015,NA,NA,NA,9.2,NA,NA,NA,NA,2,-72.92830658,NA,NA,3,16,NA,NA,6,NA,NA,1,0,1,1998,0,0,0,1,0,3
"Arizona",2000,37.69599915,1,2.762976646,11.7,172.2,17.4,0.34540987,1213858,2,-4.62198019,0,1,NA,22,38,0,14,16,0,1,0,1,2006,1,0,0,0,0,3
"Arizona",2001,44.45600128,1,2.875832558,14.6,177.1,17.4,0.357475102,1178879,2,-2.104406595,0,0,NA,24,36,0,15,15,0,1,0,1,2006,1,0,0,0,0,3
"Arizona",2002,43.95899963,1,2.939147949,13.5,179.9,17.4,0.364556074,1164266,2,-4.866111755,0,0,NA,24,36,0,15,15,0,1,0,1,2006,1,0,0,0,0,3
"Arizona",2003,46.18299866,1,3.065196037,13.5,184,17.4,0.370957047,1174826,2,-3.179832458,0,0,NA,21,39,0,13,17,0,1,0,1,2006,1,0,0,1,0,4
"Arizona",2004,44.85900116,1,3.357904434,14.4,188.9,17.4,0.376500517,1766657,2,-2.832734108,0,0,NA,21,39,0,13,17,0,1,0,1,2006,1,0,0,1,0,4
"Arizona",2005,50.73199844,1,3.681090355,15.2,195.3,18.1,0.383467883,1669417,2,-0.611018717,0,0,20,22,38,0,12,18,0,0,0,1,2006,1,0,0,1,0,3
"Arizona",2006,47.45100021,1,4.083956718,14.4,201.6,18.1,0.391472816,1229001,2,3.368825436,0,0,20,21,39,0,12,18,0,0,0,1,2006,0,0,0,1,0,2
"Arizona",2007,51.10300064,1,4.246667385,14.3,207.342,18.1,0.409447908,1547638,2,0.850067735,0,0,19,27,33,0,13,17,0,0,0,0,2006,0,0,0,1,0,1
"Arizona",2008,52.14799881,1,4.225060463,18,215.303,18.1,0.416053861,1280049,2,-4.333985329,0,0,19,27,33,0,13,17,0,0,0,0,2006,0,0,0,1,0,1
"Arizona",2009,50.59500122,1,4.027629852,21.2,214.537,18.1,0.426831692,828014,2,-9.3651371,0,1,14,25,35,0,12,18,0,0,0,0,2006,0,0,0,1,0,1
"Arizona",2010,48.68399811,1,4.104705811,18.6,218.056,18.1,0.305014879,1345520,2,-6.750191212,0,1,14,25,35,0,12,18,0,0,0,0,2006,0,0,0,1,0,1
"Arizona",2011,NA,1,NA,17.2,224.939,18.1,0.418001711,2102526,2,NA,0,1,14,20,40,0,9,21,0,0,0,0,2006,0,0,0,1,0,1
"Arizona",2012,NA,1,4.332193851,19,229.594,18.1,NA,NA,2,3.910821199,NA,NA,14,20,NA,NA,9,NA,NA,1,0,0,2006,0,0,0,1,0,2
"Arizona",2013,NA,1,NA,20.2,232.957,18.1,NA,NA,2,5.733440876,NA,NA,NA,24,NA,NA,13,NA,NA,1,0,0,2006,0,0,0,1,0,2
"Arizona",2014,NA,1,NA,21.2,236.736,NA,NA,NA,2,1.402290106,NA,NA,21,23,NA,NA,13,NA,NA,1,0,0,2006,0,0,0,1,0,2
"Arizona",2015,NA,1,NA,17.2,NA,NA,NA,NA,2,0.137197405,NA,NA,21,24,NA,NA,13,NA,NA,1,0,0,2006,0,0,0,1,0,2
"Arkansas",2000,36.86299896,1,3.404159546,16.5,172.2,43.799999,0.2027587,2559862,1,2.206121206,0,0,NA,74,23,0,29,6,0,1,0,1,1987,0,0,0,0,0,2
"Arkansas",2001,39.29399872,1,3.642532825,17.8,177.1,43.799999,0.207487732,2923582,1,-0.622309446,0,0,NA,70,30,0,27,8,0,1,0,1,1987,0,0,0,0,0,2
"Arkansas",2002,40.11899948,1,3.874157667,19.8,179.9,43.799999,0.210448191,2046665,1,-2.03747797,0,0,NA,70,30,0,27,8,0,1,0,1,1987,0,0,0,0,0,2
"Arkansas",2003,40.70800018,1,3.938079119,17.8,184,43.799999,0.213543043,3275811,1,-4.453436375,0,0,NA,72,28,0,27,8,0,1,0,1,1987,0,0,0,1,0,3
"Arkansas",2004,38.6629982,1,4.247655392,15.1,188.9,43.799999,0.216476277,3782916,1,-0.114870809,0,0,NA,70,30,0,27,8,0,1,0,1,1987,0,0,0,1,0,3
"Arkansas",2005,34.79299927,1,4.614733219,13.8,195.3,39.900002,0.220030338,2781555,1,8.03145504,0,0,0,72,28,0,27,8,0,1,0,1,1987,0,0,0,1,0,3
"Arkansas",2006,36.45999908,1,4.85554266,17.7,201.6,39.900002,0.224073112,2391970,1,8.646274567,0,0,NA,72,28,0,27,8,0,1,0,1,1987,0,0,0,1,0,3
"Arkansas",2007,35.72999954,1,4.971128941,13.8,207.342,39.900002,0.240223557,2967691,1,4.097634315,1,0,0,75,25,0,27,8,0,0,0,1,1987,0,0,0,1,0,2
"Arkansas",2008,34.83000183,1,5.134206772,15.3,215.303,39.900002,0.243523657,4104423,1,4.043260098,1,0,NA,75,25,0,27,8,0,0,0,1,1987,0,0,0,1,0,2
"Arkansas",2009,34.76300049,1,5.250810623,18.9,214.537,39.900002,0.249078885,2394071,1,6.709579468,1,0,0,71,28,1,27,8,0,0,0,1,1987,0,0,0,1,0,2
"Arkansas",2010,33.27799988,1,5.552138805,15.5,218.056,39.900002,0.19627285,2276518,1,10.40787411,1,0,NA,71,28,1,27,8,0,0,0,1,1987,0,0,0,1,0,2
"Arkansas",2011,NA,1,NA,18.7,224.939,39.900002,0.252412111,2364600,1,NA,1,0,0,55,44,0,20,15,0,0,0,1,1987,0,0,0,1,0,2
"Arkansas",2012,NA,1,5.784101009,20.1,229.594,39.900002,NA,NA,1,-5.620136261,NA,NA,NA,54,NA,NA,20,NA,NA,0,0,1,1987,0,0,0,1,0,2
"Arkansas",2013,NA,1,NA,17.1,232.957,39.900002,NA,NA,1,-2.173629999,NA,NA,NA,49,NA,NA,14,NA,NA,1,0,1,1987,0,0,0,1,0,3
"Arkansas",2014,NA,1,NA,18.4,236.736,NA,NA,NA,1,-4.957380295,NA,NA,0,48,NA,NA,13,NA,NA,1,0,1,1987,0,0,0,1,0,3
"Arkansas",2015,NA,1,NA,16.1,NA,NA,NA,NA,1,-0.756277263,NA,NA,0,36,NA,NA,11,NA,NA,1,0,1,1987,0,0,0,1,0,3
"California",2000,36.29399872,NA,3.995530605,12.7,172.2,8.8000002,0.510414481,12313601,2,1.173885465,1,0,NA,47,32,1,24,15,0,1,0,1,1986,0,0,0,1,1,4
"California",2001,42.53099823,NA,4.321413517,12.6,177.1,8.8000002,0.518473148,12001002,2,2.47063756,1,0,NA,50,30,0,26,13,0,1,0,1,1986,0,0,0,1,1,4
"California",2002,42.00899887,NA,4.057714939,13.1,179.9,8.8000002,0.524821401,12709052,2,-11.66798401,1,0,NA,50,30,0,26,14,0,1,0,1,1986,0,0,0,1,1,4
"California",2003,42.7840004,NA,4.198205471,13.1,184,8.8000002,0.53096807,14568443,2,-16.54115295,1,0,NA,48,32,0,25,15,0,1,0,1,1986,0,0,0,1,1,4
"California",2004,44.52899933,NA,4.317690372,13.3,188.9,8.8000002,0.536962748,18080623,2,-10.02988338,0,0,NA,48,32,0,25,15,0,1,0,1,1986,0,0,0,1,1,4
"California",2005,45.13299942,NA,4.79513979,13.2,195.3,11.5,0.543148637,17059775,2,-3.113161087,0,0,29.20000076,48,32,0,25,15,0,1,0,1,1986,0,0,0,1,1,4
"California",2006,44.49900055,NA,5.23025322,12.2,201.6,11.5,0.548772156,15007071,2,-1.702562332,0,0,29.20000076,48,32,0,25,15,0,1,0,1,1986,0,0,0,1,1,4
"California",2007,50.47000122,NA,5.166851997,12.7,207.342,11.5,0.572578192,17857696,2,-5.162219048,0,0,23,48,32,0,25,15,0,1,0,1,1986,0,0,0,1,1,4
"California",2008,50.15999985,NA,5.256207943,14.6,215.303,11.5,0.577286303,15160399,2,-8.266437531,0,0,23,47,32,0,25,15,0,1,0,1,1986,0,0,0,1,1,4
"California",2009,49.74200058,NA,5.040416718,15.3,214.537,11.5,0.583010375,16672203,2,-12.9699316,0,0,23,51,29,0,25,14,0,1,0,1,1986,0,0,0,1,1,4
"California",2010,46.61899948,NA,5.265385151,16.3,218.056,11.5,0.564265192,19032346,2,-7.019735813,0,0,23,49,29,1,25,14,0,1,0,1,1986,0,0,0,1,1,4
"California",2011,NA,NA,NA,16.9,224.939,11.5,0.597972333,23648537,2,NA,1,0,19,52,28,0,25,15,0,1,0,1,1986,0,0,0,1,1,4
"California",2012,NA,NA,5.240375996,15.9,229.594,11.5,NA,NA,2,-8.346111298,NA,NA,19,52,NA,NA,25,NA,NA,1,0,1,1986,0,0,0,1,1,4
"California",2013,NA,NA,NA,14.9,232.957,11.5,NA,NA,2,-6.188024521,NA,NA,NA,55,NA,NA,26,NA,NA,1,1,1,1986,0,0,0,1,1,5
"California",2014,NA,NA,NA,15.8,236.736,NA,NA,NA,2,-2.123614311,NA,NA,19,55,NA,NA,28,NA,NA,1,1,1,1986,0,0,0,1,1,5
"California",2015,NA,NA,NA,13.9,NA,NA,NA,NA,2,-1.706268907,NA,NA,19,52,NA,NA,26,NA,NA,1,1,1,1986,0,0,0,1,1,5
"Colorado",2000,33.43999863,NA,2.987114906,9.8,172.2,12.8,0.236236691,1548779,2,2.42267251,0,1,NA,25,40,0,15,20,0,1,0,1,1988,0,0,0,0,0,2
"Colorado",2001,38.75,NA,3.13352561,8.7,177.1,12.8,0.246409521,1992900,2,0.880334675,0,0,NA,28,37,0,18,17,0,1,0,1,1988,0,0,0,0,0,2
"Colorado",2002,38.91600037,NA,3.117643595,9.8,179.9,12.8,0.251705766,1380347,2,-4.124639988,0,0,NA,28,37,0,18,17,0,1,0,1,1988,0,0,0,0,0,2
