State,Year,Insurance for Unauth Kids
Alabama,2000,0
Alabama,2001,0
Alabama,2002,0
Alabama,2003,0
Alabama,2004,0
Alabama,2005,0
Alabama,2006,0
Alabama,2007,0
Alabama,2008,0
Alabama,2009,0
Alabama,2010,0
Alabama,2011,0
Alabama,2012,0
Alabama,2013,0
Alabama,2014,0
Alabama,2015,0
Alaska,2000,0
Alaska,2001,0
Alaska,2002,0
Alaska,2003,0
Alaska,2004,0
Alaska,2005,0
Alaska,2006,0
Alaska,2007,0
Alaska,2008,0
Alaska,2009,0
Alaska,2010,0
Alaska,2011,0
Alaska,2012,0
Alaska,2013,0
Alaska,2014,0
Alaska,2015,0
Arizona,2000,0
Arizona,2001,0
Arizona,2002,0
Arizona,2003,0
Arizona,2004,0
Arizona,2005,0
Arizona,2006,0
Arizona,2007,0
Arizona,2008,0
Arizona,2009,0
Arizona,2010,0
Arizona,2011,0
Arizona,2012,0
Arizona,2013,0
Arizona,2014,0
Arizona,2015,0
Arkansas,2000,0
Arkansas,2001,0
Arkansas,2002,0
Arkansas,2003,0
Arkansas,2004,0
Arkansas,2005,0
Arkansas,2006,0
Arkansas,2007,0
Arkansas,2008,0
Arkansas,2009,0
Arkansas,2010,0
Arkansas,2011,0
Arkansas,2012,0
Arkansas,2013,0
Arkansas,2014,0
Arkansas,2015,0
California,2000,0
California,2001,0
California,2002,0
California,2003,0
California,2004,0
California,2005,0
California,2006,0
California,2007,0
California,2008,0
California,2009,0
California,2010,0
California,2011,0
California,2012,0
California,2013,0
California,2014,0
California,2015,0
Colorado,2000,0
Colorado,2001,0
Colorado,2002,0
Colorado,2003,0
Colorado,2004,0
Colorado,2005,0
Colorado,2006,0
Colorado,2007,0
Colorado,2008,0
Colorado,2009,0
Colorado,2010,0
Colorado,2011,0
Colorado,2012,0
Colorado,2013,0
Colorado,2014,0
Colorado,2015,0
Connecticut,2000,0
Connecticut,2001,0
Connecticut,2002,0
Connecticut,2003,0
Connecticut,2004,0
Connecticut,2005,0
Connecticut,2006,0
Connecticut,2007,0
Connecticut,2008,0
Connecticut,2009,0
Connecticut,2010,0
Connecticut,2011,0
Connecticut,2012,0
Connecticut,2013,0
Connecticut,2014,0
Connecticut,2015,0
Delaware,2000,0
Delaware,2001,0
Delaware,2002,0
Delaware,2003,0
Delaware,2004,0
Delaware,2005,0
Delaware,2006,0
Delaware,2007,0
Delaware,2008,0
Delaware,2009,0
Delaware,2010,0
Delaware,2011,0
Delaware,2012,0
Delaware,2013,0
Delaware,2014,0
Delaware,2015,0
District of Columbia,2000,0
District of Columbia,2001,1
District of Columbia,2002,1
District of Columbia,2003,1
District of Columbia,2004,1
District of Columbia,2005,1
District of Columbia,2006,1
District of Columbia,2007,1
District of Columbia,2008,1
District of Columbia,2009,1
District of Columbia,2010,1
District of Columbia,2011,1
District of Columbia,2012,1
District of Columbia,2013,1
District of Columbia,2014,1
District of Columbia,2015,1
Florida,2000,0
Florida,2001,0
Florida,2002,0
Florida,2003,0
Florida,2004,0
Florida,2005,0
Florida,2006,0
Florida,2007,0
Florida,2008,0
Florida,2009,0
Florida,2010,0
Florida,2011,0
Florida,2012,0
Florida,2013,0
Florida,2014,0
Florida,2015,0
Georgia,2000,0
Georgia,2001,0
Georgia,2002,0
Georgia,2003,0
Georgia,2004,0
Georgia,2005,0
Georgia,2006,0
Georgia,2007,0
Georgia,2008,0
Georgia,2009,0
Georgia,2010,0
Georgia,2011,0
Georgia,2012,0
Georgia,2013,0
Georgia,2014,0
Georgia,2015,0
Hawaii,2000,0
Hawaii,2001,0
Hawaii,2002,0
Hawaii,2003,0
Hawaii,2004,0
Hawaii,2005,0
Hawaii,2006,0
Hawaii,2007,0
Hawaii,2008,0
Hawaii,2009,0
Hawaii,2010,0
Hawaii,2011,0
Hawaii,2012,0
Hawaii,2013,0
Hawaii,2014,0
Hawaii,2015,0
Idaho,2000,0
Idaho,2001,0
Idaho,2002,0
Idaho,2003,0
Idaho,2004,0
Idaho,2005,0
Idaho,2006,0
Idaho,2007,0
Idaho,2008,0
Idaho,2009,0
Idaho,2010,0
Idaho,2011,0
Idaho,2012,0
Idaho,2013,0
Idaho,2014,0
Idaho,2015,0
Illinois,2000,0
Illinois,2001,0
Illinois,2002,0
Illinois,2003,0
Illinois,2004,0
