English declared as official language,,,,,,,,,,,,,,,,,,,,,
,2000,=B2+1,=C2+1,=D2+1,=E2+1,=F2+1,=G2+1,=H2+1,=I2+1,=J2+1,=K2+1,=L2+1,=M2+1,=N2+1,=O2+1,=P2+1,=Q2+1,Year established,KEY,,
Alabama,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1990,0,State did not have the policy,
Alaska,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1998,1,State had the policy,
Arizona,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2006,,,
Arkansas,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1987,,,
California,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1986,,,
Colorado,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1988,,,
Connecticut,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,,,
Delaware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,,,
District of Columbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,,,
Florida,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1988,,,
Georgia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1986,,,
Hawaii,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1978,,,
Idaho,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2007,,,
Illinois,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1969,,,
Indiana,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1984,,,
Iowa,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2002,,,
Kansas,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2007,,,
Kentucky,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1984,,,
Louisiana,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1807,,,
Maine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,,,
Maryland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,,,
Massachusetts,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1975,,,
Michigan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,,,
Minnesota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,,,
Mississippi,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1987,,,
Missouri,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2008,,,
Montana,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1995,,,
Nebraska,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1920,,,
Nevada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,,,
New Hampshire,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1995,,,
New Jersey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,,,
New Mexico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,,,
New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,,,
North Carolina,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1987,,,
North Dakota,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1987,,,
Ohio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,,,
Oklahoma,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2010,,,
Oregon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,,,
Pennsylvania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,,,
Rhode Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,,,
South Carolina,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1987,,,
South Dakota,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1995,,,
Tennessee,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1984,,,
Texas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,,,
Utah,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2000,,,
Vermont,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,,,
Virginia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1981,,,
Washington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,,,
West Virginia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2016,,,
Wisconsin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,,,
Wyoming,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1996,,,
"Source: Julia Gelatt, Hamutal Bernstein, and Heather Koball, ""State Immigration Policy Resource,"" Washington, DC: Urban Institute, May 2017, http://urban.org/features/state-immigration-policy-resource.",,,,,,,,,,,,,,,,,,,,,
"Original data source: ""Official English Map,"" ProEnglish, accessed April 28, 2017, https://proenglish.org/official-english-map-2/",,,,,,,,,,,,,,,,,,,,,
Note: This table indicates whether each state formally recognizes English as its official language.,,,,,,,,,,,,,,,,,,,,,
