In-state tuition and state financial aid policies for unauthorized immigrant students at state colleges and universities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2000,,2001,,2002,,2003,,2004,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,
,Bill Enacted,Notes,Bill Enacted,Notes,Bill Enacted,Notes,Bill Enacted,Notes,Bill Enacted,Notes,Bill Enacted,Notes,Bill Enacted,Notes,Bill Enacted,Notes,Bill Enacted,Notes,Bill Enacted,Notes,Bill Enacted,Notes,Bill Enacted,Notes,Bill Enacted,Notes,Bill Enacted,Notes,Bill Enacted,Notes,Bill Enacted,Notes,Bill Enacted,Notes
Alabama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California,,,AB 540,Requires 3 years of high school in state; can pay in-state tuition as long as person filed an affidavit,,,,,,,,,,,,,,,,,,,AB 130,"If a student attends the California State University, the California Community Colleges, or the University of California who is exempt from paying nonresident tuition under the previous provision (AB 540) would be eligible to receive a scholarship derived from non-state funds received, for the purpose of scholarships, by the segment at which he or she is a student. Effective 2012.",AB 1899,"This bill would require students who are victims of trafficking, domestic violence, and other serious crimes who have been granted a specified status under federal law, to be exempt from paying nonresident tuition at the California State University and the California Community Colleges, and to be eligible to apply for, and participate in, all student financial aid programs and scholarships administered by a public postsecondary educational institution or the State of California, to the same extent as individuals who are admitted to the United States as refugees under specified federal law. The bill would also require community college districts to waive the fees of those students to the same extent as individuals who are admitted to the United States as refugees under specified federal law.",,,AB 2000,"This bill would provide that a student may qualify for exemption from nonresident tuition pursuant to the above-referenced provision either by high school attendance in California for 3 or more years or by either elementary or secondary school attendance, or both, in California for a total of 3 or more years and attainment of credits earned in California from a California high school equivalent to 3 or more years of full-time high school coursework, in addition to the other conditions referenced above.",,,,
,,,,,,,,,,,,,,,,,,,,,,,AB 131,"Amends the Donahoe Higher Education Act to require the Trustees of the California State University and the Board of Governors of the California Community Colleges, and to request the regents, to establish procedures and forms that enable students who are exempt from paying nonresident tuition under the previous provisions, or who meet equivalent requirements adopted by the regents, to apply for, and participate in, all student aid programs administered by these segments to the full extent permitted by federal law, except as provided. This provision would apply to the University of California only if the regents, by appropriate resolution, act to make it applicable. Effective 2013.",,,,,SB 1210,"This bill would establish the California DREAM Loan Program. The bill would provide that, commencing with the 2015–16 academic year, a student attending a participating campus of the University of California or California State University may receive a loan, referred to as a DREAM loan, through the program if the student satisfies specified requirements, including a requirement that the student be exempt from paying nonresident tuition or meet equivalent requirements adopted by the regents. ",,,,
Colorado,,,,,,,,,,,,,,,,,,,,,,,,,,,SB 13-033,"Requires 3 years of high school in state; can pay in-state tuition; no information on receipt of private scholarships, state financial aid",,,,,,
Connecticut,,,,,,,,,,,,,,,,,,,,,,,HB 6390,Requires 4 years of high school in state; can pay in-state tuition,,,,,,,HB 6844,Requires 2 years of high school in state; can pay in-state tuition,,
Delaware,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
