Cash assistance for LPRs during five-year bar ,,,,,,,,,,,,,,,,,KEY,,
,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,0,State did not have the policy,
Alabama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,State had the policy,
Alaska,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Arizona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Arkansas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
California,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
Colorado,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Connecticut,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
Delaware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
District of Columbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Florida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Georgia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
Hawaii,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
Idaho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Illinois,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Indiana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Iowa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Kansas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Kentucky,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Louisiana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Maine,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,,,
Maryland,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
Massachusetts,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Michigan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Minnesota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,
Mississippi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Missouri,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,
Montana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Nebraska,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,,,
Nevada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
New Hampshire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
New Jersey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
New Mexico,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
New York,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
North Dakota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Ohio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Oklahoma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Oregon,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
Pennsylvania,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
Rhode Island,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,,,
South Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
South Dakota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Tennessee,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,,,
Texas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Utah,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
Vermont,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,,,
Virginia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Washington,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
West Virginia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Wisconsin,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
Wyoming,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
"Source: Julia Gelatt, Hamutal Bernstein, and Heather Koball, ""State Immigration Policy Resource,"" Washington, DC: Urban Institute, May 2017, http://urban.org/features/state-immigration-policy-resource.",,,,,,,,,,,,,,,,,,,
"Original data sources: Urban Institute, ""Table I.B.6 States Using State Funds to Help Noncitizens Who Entered after Enactment and Are Ineligible for Federal TANF Assistance,"" in Welfare Rules Database, http://wrd.urban.org/wrd/tables.cfm.",,,,,,,,,,,,,,,,,,,
"Marianne Bitler and Hilary W. Hoynes, ""Immigrants, Welfare Reform, and the U.S. Safety Net,"" NBER working paper No. 17667 (Washington, DC: National Bureau of Economic Research 2011).",,,,,,,,,,,,,,,,,,,
Notes:  This table notes whether each state funds TANF-like cash assistance for LPRs during their first five years with this status. TANF provides cash assistance and supportive services for a limited period to low-income families with children to pay for living expenses.,,,,,,,,,,,,,,,,,,,
Data for 2016 are not yet available.,,,,,,,,,,,,,,,,,,,
Key Terms:,,,,,,,,,,,,,,,,,,,
LPR = lawful permanent resident,,,,,,,,,,,,,,,,,,,
TANF = Temporary Assistance for Needy Families,,,,,,,,,,,,,,,,,,,
