TANF for LPRs after five-year bar,,,,,,,,,,,,,,,,,KEY,,
,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,0,State did not have the policy,
Alabama,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,State had the policy,
Alaska,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
Arizona,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
Arkansas,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,,,
California,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
Colorado,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
Connecticut,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
Delaware,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
District of Columbia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
Florida,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
Georgia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
Hawaii,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
Idaho,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,,,
Illinois,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
Indiana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Iowa,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
Kansas,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
Kentucky,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
Louisiana,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
Maine,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
Maryland,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
Massachusetts,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
Michigan,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
Minnesota,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
Mississippi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Missouri,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
Montana,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,,,
Nebraska,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
Nevada,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
New Hampshire,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
New Jersey,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
New Mexico,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
New York,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
North Carolina,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
North Dakota,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,,,
Ohio,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,,,
Oklahoma,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
Oregon,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
Pennsylvania,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
Rhode Island,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
South Carolina,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,,,
South Dakota,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
Tennessee,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
Texas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Utah,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
Vermont,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
Virginia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
Washington,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
West Virginia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
Wisconsin,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
Wyoming,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
"Source: Julia Gelatt, Hamutal Bernstein, and Heather Koball, ""State Immigration Policy Resource,"" Washington, DC: Urban Institute, May 2017, http://urban.org/features/state-immigration-policy-resource.",,,,,,,,,,,,,,,,,,,
"Original data sources: Urban Institute, ""Table I.B.7 State Practices Regarding Eligibility of Non-Exempt, Post-PRWORA, Qualified Aliens after Five Years,"" in Welfare Rules Database, http://wrd.urban.org/wrd/tables.cfm.",,,,,,,,,,,,,,,,,,,
"Marianne Bitler and Hilary W. Hoynes, ""Immigrants, Welfare Reform, and the U.S. Safety Net,"" NBER working paper No. 17667 (Washington, DC: National Bureau of Economic Research 2011).",,,,,,,,,,,,,,,,,,,
"Note: This table indicates whether the state provides TANF to LPRs after their first five years with this status. Although federal funding is available, a few states deny TANF to LPRs even after the five-year waiting period.  TANF provides cash assistance and supportive services for a limited period to low-income families with children, to pay for living expenses.",,,,,,,,,,,,,,,,,,,
Data for 2016 are not yet available.,,,,,,,,,,,,,,,,,,,
Key terms:,,,,,,,,,,,,,,,,,,,
LPR = lawful permanent resident ,,,,,,,,,,,,,,,,,,,
TANF = Temporary Assistance for Needy Families,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
